DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4196.7998,79.246,78.687,150.88,2.665,111.414,17.583,24.496,21.719,3.516,21.184,8.932,1.278,112.678,1.046,0.167
4196.8999,79.266,78.854,150.986,2.666,111.34,17.673,24.522,21.682,3.53,21.493,8.853,1.288,112.846,1.046,0.169
4197.0,79.329,79.126,151.231,2.666,111.1,17.901,24.448,21.559,3.535,21.815,8.775,1.283,113.086,1.046,0.176
4197.1001,79.447,79.399,151.462,2.664,110.968,18.267,24.243,21.331,3.52,22.121,8.727,1.28,113.378,1.046,0.188
4197.2002,79.607,79.66,151.641,2.662,110.848,18.694,23.904,21.007,3.488,22.313,8.731,1.266,113.709,1.032,0.201
4197.2998,79.766,79.731,151.252,2.662,110.768,18.994,23.482,20.637,3.447,22.29,8.791,1.275,114.085,0.996,0.208
4197.3999,79.881,79.626,150.496,2.664,110.94,19.053,23.065,20.295,3.41,22.076,8.88,1.308,114.426,0.938,0.205
4197.5,79.911,79.37,149.433,2.667,111.367,18.836,22.748,20.058,3.376,21.77,8.976,1.268,114.731,0.865,0.195
4197.6001,79.784,78.912,148.41,2.669,111.51,18.477,22.653,20.025,3.361,21.46,9.038,1.272,114.849,0.773,0.184
4197.7002,79.502,78.447,147.637,2.67,110.76,18.231,22.8,20.198,3.391,21.09,9.053,1.272,114.562,0.657,0.178
4197.7998,79.097,77.976,147.122,2.67,109.11,18.169,23.174,20.558,3.476,20.562,9.022,1.291,113.868,0.558,0.177
4197.8999,78.656,77.673,147.06,2.67,107.205,18.172,23.733,21.057,3.575,20.032,8.97,1.257,113.703,0.444,0.176
4198.0,78.297,77.495,147.215,2.672,106.242,18.082,24.339,21.574,3.629,19.741,8.94,1.275,113.746,0.307,0.171
4198.1001,78.085,77.466,147.618,2.674,106.698,17.921,24.877,22.011,3.609,19.833,8.942,1.272,114.029,0.099,0.165
4198.2002,78.067,77.639,148.087,2.676,108.219,17.925,25.212,22.26,3.534,20.197,8.966,1.272,113.792,,0.164
4198.2998,78.226,77.865,148.58,2.678,109.733,18.29,25.289,22.29,3.451,20.578,8.997,1.261,113.529,,0.174
4198.3999,78.545,78.15,149.108,2.68,110.496,18.966,25.135,22.131,3.366,20.943,9.036,1.246,113.288,,0.191
4198.5,79.016,78.428,149.68,2.681,110.553,19.673,24.806,21.839,3.283,21.274,9.086,1.278,113.095,0.001,0.208
4198.6001,79.57,78.672,150.155,2.68,110.524,20.04,24.405,21.499,3.196,21.644,9.13,1.239,112.938,0.022,0.217
4198.7002,80.108,78.858,150.439,2.678,110.745,19.985,24.01,21.169,3.12,21.961,9.164,1.24,112.832,0.062,0.216
4198.7998,80.546,78.959,150.385,2.676,111.053,19.63,23.654,20.87,3.073,22.158,9.178,1.245,112.834,0.107,0.206
4198.8999,80.818,79.029,150.211,2.677,110.922,19.237,23.337,20.599,3.07,22.217,9.156,1.223,112.889,0.153,0.196
4199.0,80.91,79.065,149.922,2.68,110.204,19.057,23.062,20.364,3.104,22.166,9.103,1.223,113.017,0.211,0.189
4199.1001,80.805,79.048,149.606,2.683,108.932,19.162,22.87,20.205,3.162,22.052,9.029,1.223,112.921,0.275,0.19
4199.2002,80.492,78.989,149.321,2.686,107.606,19.489,22.875,20.224,3.218,21.852,8.978,1.239,112.833,0.341,0.196
4199.2998,80.067,78.851,149.149,2.688,106.676,19.784,23.137,20.466,3.264,21.58,8.964,1.238,112.954,0.391,0.201
4199.3999,79.613,78.648,149.117,2.69,106.289,19.839,23.67,20.93,3.297,21.249,8.99,1.247,113.099,0.417,0.197
4199.5,79.233,78.42,149.157,2.693,106.529,19.525,24.374,21.522,3.32,20.867,9.049,1.24,113.255,0.357,0.185
4199.6001,78.963,78.188,149.278,2.694,106.983,19.01,25.02,22.052,3.333,20.505,9.127,1.237,113.41,0.243,0.17
4199.7002,78.796,77.996,149.364,2.694,107.327,18.499,25.462,22.406,3.336,20.182,9.212,1.225,113.568,0.107,0.158
4199.7998,78.721,77.839,149.408,2.693,107.652,18.12,25.636,22.538,3.327,19.907,9.308,1.222,113.73,0.025,0.149
4199.8999,78.711,77.774,149.32,2.694,108.356,17.912,25.647,22.532,3.301,19.65,9.438,1.235,113.911,,0.144
4200.0,78.746,77.766,149.625,2.696,109.515,17.904,25.583,22.457,3.262,19.435,9.587,1.246,114.082,,0.142
4200.1001,78.805,77.793,150.167,2.699,110.478,18.105,25.44,22.306,3.22,19.238,9.737,1.253,114.242,,0.145
4200.2002,78.863,77.838,150.79,2.701,110.292,18.409,25.168,22.049,3.189,18.889,9.891,1.271,114.371,,0.151
4200.2998,78.896,77.817,151.026,2.701,108.86,18.685,24.786,21.718,3.176,18.313,10.054,1.229,114.484,0.008,0.159
4200.3999,78.878,77.738,150.933,2.699,106.816,18.869,24.382,21.393,3.188,17.688,10.172,1.225,114.585,0.073,0.165
4200.5,78.792,77.503,149.95,2.697,105.247,18.918,24.132,21.222,3.233,17.262,10.18,1.247,114.674,0.175,0.168
4200.6001,78.652,77.194,148.693,2.696,104.594,18.854,24.148,21.287,3.304,17.092,10.086,1.247,114.737,0.316,0.167
4200.7002,78.467,76.823,147.206,2.696,104.678,18.701,24.486,21.625,3.394,17.067,9.921,1.264,114.776,0.505,0.162
4200.7998,78.248,76.492,145.904,2.696,105.081,18.524,25.161,22.233,3.491,17.157,9.705,1.239,114.731,0.687,0.158
4200.8999,78.033,76.258,145.186,2.695,105.408,18.455,26.016,22.974,3.576,17.334,9.482,1.238,114.645,0.862,0.159
4201.0,77.869,76.125,145.082,2.692,105.624,18.571,26.901,23.719,3.637,17.55,9.295,1.247,114.517,0.975,0.166
4201.1001,77.829,76.247,145.418,2.69,105.925,18.848,27.599,24.287,3.663,17.735,9.195,1.24,114.313,1.051,0.175
4201.2002,77.925,76.476,145.962,2.689,106.422,19.1,27.966,24.563,3.649,17.819,9.209,1.237,114.06,1.079,0.183
