DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4246.1,233.1234,70.2272,128.3735,2.6991,134.91,17.0607,16.8555,16.0993,3.9087,14.2331,5.2334,0.7858,123.5492,0.01,10.0
4246.2,233.255,70.3328,128.4113,2.7061,134.7069,17.3295,16.8796,16.1204,3.9017,14.315,5.3046,0.7845,123.548,0.01,10.0
4246.3,233.5798,70.4564,128.4709,2.7103,135.1679,17.7363,16.8701,16.1109,3.8582,14.6615,5.3637,0.7845,123.3684,0.01,10.0
4246.5,234.6892,70.7563,128.5583,2.7121,137.6242,18.1295,16.7921,16.0381,3.6321,16.226,5.4756,0.8319,123.1625,0.01,10.0
4246.6,235.2743,70.8726,128.5973,2.7155,138.0925,18.1263,16.7554,16.0041,3.5035,17.0226,5.5144,0.8318,122.8309,0.01,10.0
4247.0,235.8844,70.8509,129.433,2.7158,133.1828,19.1939,16.7411,15.9984,3.1373,19.4275,5.2409,0.8783,123.5642,0.01,10.0
4247.7,235.4884,71.2253,131.4439,2.7173,135.327,18.6758,16.454,15.7212,2.7086,16.8132,7.4516,0.9194,124.5298,0.01,10.0
4247.9,236.2552,71.5182,132.0593,2.7207,135.064,18.5753,16.0701,15.3609,2.6751,14.462,8.4478,0.9343,124.606,0.01,10.0
4248.0,236.9173,71.6157,132.298,2.7183,134.5371,18.8416,15.858,15.1639,2.6849,13.4517,8.7616,0.9503,124.6072,0.01,10.0
4248.2,238.6071,71.7139,132.5088,2.7073,131.7722,20.0922,15.5633,14.8995,2.789,12.5901,8.6731,0.9618,124.658,0.01,10.0
4248.3,239.4368,71.7096,132.4446,2.7061,130.7998,20.5499,15.5017,14.8496,2.8598,12.6913,8.3997,0.9699,124.6562,0.01,10.0
4248.6,240.5395,71.4355,132.0101,2.7192,132.7056,20.1259,15.6281,14.9793,3.0319,13.993,7.4241,0.95,124.6551,0.01,10.0
4249.1,239.1522,71.2554,132.0396,2.7079,134.9369,19.4761,16.0731,15.4018,3.0518,14.9604,7.1514,0.9981,125.0561,0.01,10.0
4249.5,238.3297,71.5545,132.2103,2.7092,136.7642,19.267,15.86,15.2074,2.9944,14.6109,7.5137,1.0013,124.7154,0.01,10.0
4249.8,237.718,71.5988,132.0324,2.7144,136.7126,18.1919,15.828,15.1862,3.023,13.5842,7.8602,1.0163,124.5416,0.01,10.0
4249.9,237.653,71.5479,131.8259,2.7204,135.9371,18.028,15.8738,15.2315,3.0549,13.0561,7.9749,1.0162,124.417,0.01,10.0
4250.0,237.6672,71.503,131.771,2.7262,134.6618,18.0546,15.892,15.2499,3.0997,12.4598,8.0742,1.0163,124.4161,0.01,10.0
4250.2,237.7642,71.4021,131.757,2.724,133.7646,18.2844,15.8257,15.1922,3.1861,11.7645,8.0605,1.012,124.6119,0.01,10.0
4250.4,237.6738,71.2732,131.4196,2.7025,135.7504,18.945,15.8047,15.1869,3.2604,12.0405,7.6807,1.0119,124.5372,0.01,10.0
4250.5,237.5374,71.1764,131.163,2.6931,135.3145,19.4228,15.8761,15.2657,3.2924,12.4155,7.3875,1.0119,124.4513,0.01,10.0
4250.6,237.342,71.0755,130.8535,2.6887,133.5813,19.6603,16.019,15.4132,3.3087,12.9312,7.0562,1.0097,124.451,0.01,10.0
4250.7,237.0839,70.9726,130.515,2.6897,131.7679,19.5194,16.231,15.6228,3.3086,13.3741,6.7936,0.9912,124.2949,0.01,10.0
4251.1,234.6391,70.3487,129.4868,2.7004,132.5395,17.4816,17.1523,16.4974,3.4116,13.4687,6.2609,1.0117,124.4434,0.01,10.0
4251.2,233.3814,70.258,129.6245,2.7005,131.916,17.409,17.378,16.7134,3.5124,13.2201,6.0851,1.0117,124.4519,0.01,10.0
