DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4080.3,243.2193,75.1256,139.9082,2.6559,120.0501,21.1582,14.171,11.9925,3.5713,10.829,5.0449,23.7384,109.1339,0.0,10.0
4080.6,244.0985,74.7196,138.8198,2.6665,118.2259,19.8296,13.7458,10.9712,3.5913,11.213,4.7635,23.749,109.4204,0.0,10.0
4080.7,244.319,74.7788,138.6665,2.6633,120.3856,19.9106,13.4159,10.4916,3.565,11.6922,4.6395,23.7783,109.4473,0.0,10.0
4080.9,244.194,75.1638,138.585,2.6592,122.8452,20.5673,12.7287,9.4079,3.4956,12.2096,4.6436,23.7755,109.441,0.0,10.0
4081.0,243.8993,75.3579,138.5569,2.6588,122.3222,21.0376,12.4832,8.8526,3.4615,12.318,4.7188,23.786,109.4346,0.0,10.0
4081.1,243.5354,75.4594,138.5332,2.6589,121.3272,21.4909,12.3156,8.3696,3.4297,12.4177,4.8014,23.7917,109.4388,0.0,10.0
4081.2,243.1551,75.5212,138.5034,2.6608,120.575,21.7889,12.2017,8.081,3.3901,12.4895,4.9269,23.7748,109.4588,0.0,10.0
4081.4,242.5802,75.508,138.4008,2.6741,121.1498,21.6108,12.0875,8.0713,3.3278,12.6019,5.2233,23.7897,109.5467,0.0,10.0
4081.6,242.4804,75.3965,138.0607,2.6835,122.8168,20.9111,12.0609,8.3065,3.3395,12.505,5.44,23.7674,109.6827,0.0,10.0
4081.7,242.4804,75.2945,137.5902,2.6806,122.9257,20.6012,12.0678,8.3472,3.3603,12.4358,5.4787,23.7725,109.771,0.0,10.0
4081.8,242.3508,75.1816,137.0071,2.6758,122.8237,20.3732,12.086,8.5391,3.3761,12.3814,5.5013,23.7764,109.8776,0.0,10.0
4081.9,241.9906,75.0619,136.2886,2.6725,122.9168,20.2395,12.1065,8.6858,3.3806,12.318,5.5402,23.7534,110.0009,0.0,10.0
4082.1,240.7332,74.9108,135.0181,2.6758,124.0701,20.1202,12.0595,8.9755,3.3571,12.2539,5.6216,23.7678,110.2594,0.0,10.0
4082.4,238.8898,74.6659,133.7796,2.6687,123.9495,19.6271,11.7524,9.0472,3.2494,12.5245,5.7546,23.8358,110.5559,0.0,10.0
4082.5,238.5704,74.4556,133.4232,2.6634,123.3561,19.4283,11.759,9.0192,3.1983,12.5995,5.8567,23.8365,110.6421,0.0,10.0
4082.6,238.3707,74.1666,133.1029,2.6618,123.3861,19.3509,11.9053,9.047,3.1609,12.5908,5.9769,23.8333,110.7364,0.0,10.0
4082.7,238.175,73.831,132.8083,2.6641,124.3587,19.401,12.1932,9.1453,3.1457,12.545,6.0697,23.8452,110.8395,0.0,10.0
4082.8,237.8817,73.4551,132.5582,2.6675,125.6809,19.5041,12.5808,9.278,3.1555,12.5207,6.0881,23.8453,110.9434,0.0,10.0
4083.1,236.5198,72.5824,132.1376,2.6693,124.2465,19.6912,13.6384,9.057,3.2566,12.5864,5.866,23.8769,111.1851,0.0,10.0
4083.4,237.0492,72.0719,132.4108,2.683,123.3866,20.2418,13.6073,9.1325,3.2781,12.7266,5.7277,23.9162,111.2504,0.0,10.0
4083.5,237.8371,71.9688,132.7213,2.6842,123.5843,20.3957,13.4535,9.1692,3.2558,12.8136,5.7169,23.8877,111.2133,0.0,10.0
4084.3,238.2771,72.8141,133.6129,2.6819,122.9046,19.2996,12.7822,8.7616,3.1987,15.3374,5.0231,23.9675,110.9673,0.0,10.0
4084.5,237.5555,72.6666,132.9622,2.6848,123.3664,19.3567,12.9174,9.3564,3.2411,15.1611,4.9627,23.9504,111.1017,0.0,10.0
4084.6,237.2548,72.5925,132.5932,2.682,123.1655,19.4987,12.997,9.7793,3.2357,14.8374,5.0412,23.9778,111.1707,0.0,10.0
4084.7,236.9479,72.5015,132.2386,2.6763,122.7323,19.6115,13.0817,10.002,3.2163,14.4276,5.1578,23.9554,111.234,0.0,10.0
4084.9,236.1051,72.3097,131.6438,2.6665,120.7777,19.844,13.188,10.0653,3.135,13.5693,5.4612,23.9414,111.3476,0.0,10.0
4085.0,235.6238,72.278,131.387,2.6653,119.8563,20.0027,13.1954,10.1037,3.0777,13.1335,5.6563,23.9674,111.404,0.0,10.0
4085.2,235.2807,72.2271,131.004,2.6683,119.8099,20.1524,13.1914,10.3459,2.9813,12.4444,5.9967,23.9597,111.517,0.0,10.0
4085.3,235.644,72.1489,130.9007,2.6717,120.01,20.0173,13.176,10.4362,2.9581,12.2486,6.0897,23.9211,111.5651,0.0,10.0
